ARS,STK,4139,21,9825,10194,3,0,2015-01-11 00:00:00,2014/2015
MUN,SOU,4145,21,10260,8466,0,1,2015-01-11 00:00:00,2014/2015
BUR,QPR,4140,21,8191,10172,2,1,2015-01-10 00:00:00,2014/2015
CHE,NEW,4141,21,8455,10261,2,0,2015-01-10 00:00:00,2014/2015
CRY,TOT,4142,21,9826,8586,2,1,2015-01-10 00:00:00,2014/2015
EVE,MCI,4143,21,8668,8456,1,1,2015-01-10 00:00:00,2014/2015
LEI,AVL,4144,21,8197,10252,1,0,2015-01-10 00:00:00,2014/2015
SUN,LIV,4146,21,8472,8650,0,1,2015-01-10 00:00:00,2014/2015
SWA,WHU,4147,21,10003,8654,1,1,2015-01-10 00:00:00,2014/2015
WBA,HUL,4148,21,8659,8667,1,0,2015-01-10 00:00:00,2014/2015
AVL,CRY,4129,20,10252,9826,0,0,2015-01-01 00:00:00,2014/2015
HUL,EVE,4130,20,8667,8668,2,0,2015-01-01 00:00:00,2014/2015
LIV,LEI,4131,20,8650,8197,2,2,2015-01-01 00:00:00,2014/2015
MCI,SUN,4132,20,8456,8472,3,2,2015-01-01 00:00:00,2014/2015
NEW,BUR,4133,20,10261,8191,3,3,2015-01-01 00:00:00,2014/2015
QPR,SWA,4134,20,10172,10003,1,1,2015-01-01 00:00:00,2014/2015
SOU,ARS,4135,20,8466,9825,2,0,2015-01-01 00:00:00,2014/2015
STK,MUN,4136,20,10194,10260,1,1,2015-01-01 00:00:00,2014/2015
TOT,CHE,4137,20,8586,8455,5,3,2015-01-01 00:00:00,2014/2015
WHU,WBA,4138,20,8654,8659,1,1,2015-01-01 00:00:00,2014/2015
LIV,SWA,4111,19,8650,10003,4,1,2014-12-29 00:00:00,2014/2015
AVL,SUN,4109,19,10252,8472,0,0,2014-12-28 00:00:00,2014/2015
HUL,LEI,4110,19,8667,8197,0,1,2014-12-28 00:00:00,2014/2015
MCI,BUR,4112,19,8456,8191,2,2,2014-12-28 00:00:00,2014/2015
NEW,EVE,4113,19,10261,8668,3,2,2014-12-28 00:00:00,2014/2015
QPR,CRY,4114,19,10172,9826,0,0,2014-12-28 00:00:00,2014/2015
SOU,CHE,4115,19,8466,8455,1,1,2014-12-28 00:00:00,2014/2015
STK,WBA,4116,19,10194,8659,2,0,2014-12-28 00:00:00,2014/2015
TOT,MUN,4117,19,8586,10260,0,0,2014-12-28 00:00:00,2014/2015
WHU,ARS,4118,19,8654,9825,1,2,2014-12-28 00:00:00,2014/2015
ARS,QPR,4099,18,9825,10172,2,1,2014-12-26 00:00:00,2014/2015
BUR,LIV,4100,18,8191,8650,0,1,2014-12-26 00:00:00,2014/2015
CHE,WHU,4101,18,8455,8654,2,0,2014-12-26 00:00:00,2014/2015
CRY,SOU,4102,18,9826,8466,1,3,2014-12-26 00:00:00,2014/2015
EVE,STK,4103,18,8668,10194,0,1,2014-12-26 00:00:00,2014/2015
LEI,TOT,4104,18,8197,8586,1,2,2014-12-26 00:00:00,2014/2015
