1W; 1L; 1GDpS; 2W; 2L; 2GDpS; 1FW; 1FL; 1FGDpS; 2FW; 2FL; 2FGDpS; 1SW; 1SL; 1SGDpS; 2SW; 2SL; 2SGDpS; 1SFW; 1SFL; 1SFGDpS; 2SFW; 2SFL; 2SFGDpS; 1MW; 1ML; 1MGDpS; 1MSW; 1MSL; 1MSGDpS; 1R; 2R; H; C; G; dSc; dSSc; 1; 2
5; 2; 1.2857; 2; 1; -0.3333; 5; 2; 0.4286; 2; 1; 0.75; 5; 2; 1; 2; 1; 0; 5; 2; 0.4286; 2; 1; 0.75; 4; 1; 0.8; 2; 1; 0.3333; 11; 47; 1; 0; 0; 184; 184; 1; 0
1; 4; -1.4; 8; 1; 1.7778; 1; 4; -0.3; 8; 1; 0.1944; 1; 4; -1; 8; 1; 1; 1; 4; -0.3; 8; 1; 0.1944; 0; 1; -3; 0; 1; -3; 70; 7; 1; 0; 0; -672; -672; 0; 1
7; 1; 2.25; 4; 4; -0.375; 7; 1; 0.5; 4; 4; -0.25; 7; 1; 2; 4; 4; 0; 7; 1; 0.5; 4; 4; -0.25; 4; 0; 2.5; 2; 0; 3.5; 3; 80; 1; 0; 0; 249; 249; 1; 0
9; 4; 0.2308; 4; 4; -0.25; 7; 3; 0.15; 4; 4; 0.4375; 9; 4; 0; 4; 4; 0; 7; 3; 0.15; 4; 4; 0.4375; 3; 2; 0.4; 2; 2; 0; 43; 38; 1; 0; 0; 479; 479; 0; 1
3; 4; -0.4286; 11; 2; 1.6923; 3; 4; -0.5; 9; 1; 0.4; 3; 4; 0; 11; 2; 1; 3; 4; -0.5; 9; 1; 0.4; 1; 1; 1; 0; 1; 0; 57; 77; 1; 0; 0; -148; -148; 0; 1
5; 3; 0.25; 5; 3; 0.875; 5; 3; 0.1667; 5; 3; 0.5625; 5; 3; 0; 5; 3; 0; 5; 3; 0.1667; 5; 3; 0.5625; 0; 1; -3; 0; 1; -3; 34; 19; 1; 0; 0; -185; -185; 0; 1
6; 3; 1.1111; 3; 3; 0.3333; 6; 3; 0.5; 3; 3; -0.6667; 6; 3; 1; 3; 3; 0; 6; 3; 0.5; 3; 3; -0.6667; 4; 1; 1.2; 3; 1; 1.25; 19; 41; 1; 0; 0; 510; 510; 0; 1
6; 3; 0.6667; 7; 2; 1.3333; 6; 3; 0.1667; 7; 2; 0.3333; 6; 3; 0; 7; 2; 1; 6; 3; 0.1667; 7; 2; 0.3333; 0; 6; -2.3333; 0; 4; -2.75; 22; 11; 1; 0; 0; -216; -216; 0; 1
9; 1; 1.9; 5; 4; 0.1111; 9; 1; 0.175; 5; 4; 0.3889; 9; 1; 1; 5; 4; 0; 9; 1; 0.175; 5; 4; 0.3889; 5; 2; 1.7143; 4; 1; 1.8; 7; 38; 1; 0; 0; 511; 511; 1; 0
12; 2; 1.5714; 8; 1; 2.2222; 9; 1; 0.4; 8; 1; 0.4444; 12; 2; 1; 8; 1; 2; 9; 1; 0.4; 8; 1; 0.4444; 0; 11; -2.2727; 0; 8; -2; 77; 3; 1; 0; 0; -182; -182; 0; 1
10; 1; 1.9091; 8; 2; 1.7; 9; 1; 0.4; 8; 2; 0.3; 10; 1; 1; 8; 2; 1; 9; 1; 0.4; 8; 2; 0.3; 2; 2; 0; 1; 1; -0.5; 7; 11; 1; 0; 0; 224; 224; 0; 1
9; 1; 2.1; 4; 3; 0.5714; 9; 1; 0.4; 4; 3; -0.5714; 9; 1; 2; 4; 3; 0; 9; 1; 0.4; 4; 3; -0.5714; 16; 2; 1.6111; 14; 2; 1.625; 3; 41; 1; 0; 0; 469; 469; 1; 0
10; 1; 2; 9; 2; 1.9091; 9; 1; 0.35; 8; 2; -0.15; 10; 1; 2; 9; 2; 1; 9; 1; 0.35; 8; 2; -0.15; 14; 4; 1.6667; 9; 4; 1.8462; 3; 11; 1; 0; 0; 55; 55; 1; 0
4; 4; 0.875; 1; 6; -1.4286; 4; 4; -0.3125; 1; 6; -0.2143; 4; 4; 0; 1; 6; -1; 4; 4; -0.3125; 1; 6; -0.2143; 1; 1; -1; 1; 1; -1; 87; 70; 1; 0; 0; 94; 94; 0; 1
4; 4; -0.125; 5; 6; -0.5455; 4; 4; -0.3125; 5; 5; -0.2; 4; 4; 0; 5; 6; 0; 4; 4; -0.3125; 5; 5; -0.2; 2; 1; 0.3333; 2; 0; 1; 20; 80; 1; 0; 0; -15; -15; 1; 0
5; 6; -0.5455; 3; 4; -0.5714; 4; 6; -0.2; 3; 4; -0.0571; 5; 6; 0; 3; 4; 0; 4; 6; -0.2; 3; 4; -0.0571; 1; 1; 0; 1; 0; 3; 75; 30; 1; 0; 0; 201; 201; 1; 0
12; 3; 1.4667; 7; 4; 0.2727; 8; 2; 0.3667; 6; 4; 0.1333; 12; 3; 1; 7; 4; 0; 8; 2; 0.3667; 6; 4; 0.1333; 3; 0; 2; 2; 0; 2; 11; 15; 1; 0; 0; 445; 445; 1; 0
