id,rank,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
146,Rogerio Dutra Silva,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,NULL,NULL
147,Tommy Robredo,NULL,NULL,30,30,21,13,19,7,10,21,16,50,51,NULL,18,17,42,NULL,NULL,NULL
148,Teymuraz Gabashvili,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,80,NULL,NULL,76,67,50,NULL,NULL,NULL
149,Lukas Rosol,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,73,47,31,55,NULL,NULL,NULL
150,Jerzy Janowicz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,21,43,57,NULL,NULL,NULL
151,Simone Bolelli,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,41,93,NULL,NULL,84,NULL,55,58,NULL,NULL,NULL
152,Sam Groth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,60,NULL,NULL,NULL
153,Sergiy Stakhovsky,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,60,46,62,NULL,98,58,62,NULL,NULL,NULL
154,Andreas Haider-Maurer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,63,NULL,NULL,NULL
155,Inigo Cervantes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL
156,Daniel Munoz de la Nava,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL,NULL,NULL
157,Thanasi Kokkinakis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,NULL
158,Ivan Dodig,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,36,72,33,95,87,NULL,NULL,NULL
159,Rajeev Ram,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL
160,Yuki Bhambri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL
161,Benjamin Becker,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,84,NULL,40,53,NULL,65,79,40,97,NULL,NULL,NULL
162,Daniel Gimeno-Traver,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,72,56,NULL,70,77,NULL,98,NULL,NULL,NULL
163,Thiemo de Bakker,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,43,NULL,NULL,NULL,NULL,99,NULL,NULL,NULL
164,Lleyton Hewitt,25,7,1,1,17,3,4,20,21,67,22,54,NULL,83,60,50,NULL,NULL,NULL,NULL
165,Radek Stepanek,NULL,NULL,NULL,63,46,33,20,19,30,27,12,62,28,31,44,68,NULL,NULL,NULL,NULL
166,Jarkko Nieminen,NULL,NULL,61,40,36,77,28,15,27,37,88,39,77,41,39,73,NULL,NULL,NULL,NULL
167,Andrey Golubev,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,36,NULL,NULL,82,74,NULL,NULL,NULL,NULL
168,Marinko Matosevic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,61,75,NULL,NULL,NULL,NULL
169,Tommy Haas,11,23,8,11,NULL,17,45,11,12,82,18,NULL,NULL,21,12,77,NULL,NULL,NULL,NULL
170,Blaz Rola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,NULL,NULL
171,Igor Sijsling,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,70,84,NULL,NULL,NULL,NULL
